id_regla,consulta,contexto_rag_original,respuesta_final_llm,clasificacion_fidelidad,alucinacion_detectada
PRA-001,¿Qué son las prácticas preprofesionales en la UNSAAC?,Las prácticas preprofesionales son actividades académicas calificadas que el estudiante próximo a egresar realiza en una...,Las prácticas preprofesionales son actividades académicas calificadas que el estudiante próximo a egresar realiza en una entidad pública o privada. Permiten aplicar las competencias adquiridas durante la formación universitaria en un entorno laboral real.,Fiel,No
PRA-002,¿Cuál es el objetivo de las prácticas preprofesionales?,"Las prácticas buscan desarrollar habilidades profesionales, complementar la formación académica y relacionar los conocim...","Las prácticas buscan desarrollar habilidades profesionales, complementar la formación académica y relacionar los conocimientos teóricos con situaciones reales. También permiten fortalecer la responsabilidad, el trabajo en equipo, la capacidad crítica y el contacto con el mercado laboral.",Fiel,No
PRA-003,¿Dónde puedo realizar mis prácticas preprofesionales?,Las prácticas preprofesionales pueden desarrollarse en una entidad pública o privada. Las actividades asignadas deben pe...,"Las prácticas preprofesionales pueden desarrollarse en una entidad pública o privada. Las actividades asignadas deben permitir al estudiante aplicar las competencias de su carrera y corresponder a las áreas de formación establecidas por su Escuela Profesional. Si deseas conocer más opciones y recomendaciones sobre entidades receptoras, se aconseja consultarlo directamente con tu tutor académico.",Fiel,No
PRA-004,¿Las prácticas preprofesionales son obligatorias para obtener el bachillerato?,Sí. El Reglamento Académico establece que las prácticas preprofesionales forman parte del plan de estudios de cada Escue...,Sí. El Reglamento Académico establece que las prácticas preprofesionales forman parte del plan de estudios de cada Escuela Profesional y se exigen como requisito para alcanzar el grado académico de bachiller.,Fiel,No
PRA-005,¿A partir de qué semestre puedo realizar mis prácticas en el Plan de Estudios 2025 de Ingeniería Informática?,"En el Plan de Estudios 2025 de Ingeniería Informática y de Sistemas, la Práctica Preprofesional está ubicada en el décim...","En el Plan de Estudios 2025 de Ingeniería Informática y de Sistemas, la Práctica Preprofesional está ubicada en el décimo semestre. Para llevarla se exige haber acumulado como mínimo 180 créditos.",Fiel,No
PRA-006,¿Cuántos créditos tiene la Práctica Preprofesional en el Plan de Estudios 2025?,La Práctica Preprofesional de la Escuela Profesional de Ingeniería Informática y de Sistemas tiene 8 créditos en el Plan...,La Práctica Preprofesional de la Escuela Profesional de Ingeniería Informática y de Sistemas tiene 8 créditos en el Plan de Estudios 2025. Está registrada con el código IFI66 dentro del décimo semestre.,Fiel,No
PRA-007,¿Las prácticas tienen los mismos requisitos en todos los planes de estudios?,"No necesariamente. Los créditos, prerrequisitos y ubicación semestral de las prácticas dependen del plan de estudios al ...","No necesariamente. Los créditos, prerrequisitos y ubicación semestral de las prácticas dependen del plan de estudios al que pertenece el estudiante. Por eso debes revisar tu malla curricular y confirmar tu situación con la Dirección de la Escuela Profesional.",Fiel,No
PRA-008,¿Quién organiza las prácticas preprofesionales en la Escuela Profesional?,Cada Escuela Profesional propone el nombramiento de docentes coordinadores de prácticas para el año académico. El coordi...,"Cada Escuela Profesional propone el nombramiento de docentes coordinadores de prácticas para el año académico. El coordinador organiza las prácticas, coordina el cumplimiento del plan con la Dirección de la Escuela y gestiona los convenios necesarios.",Fiel,No
PRA-009,¿Es necesario que la entidad donde realizaré mis prácticas tenga un convenio con la UNSAAC?,La coordinación de prácticas es responsable de gestionar convenios con las entidades donde se desarrollarán las activida...,"La coordinación de prácticas es responsable de gestionar convenios con las entidades donde se desarrollarán las actividades. Antes de comenzar, debes confirmar con la Dirección o el coordinador si la entidad cuenta con convenio o si necesita formalizarse.",Fiel,No
PRA-010,¿Quién puede ser mi asesor de prácticas preprofesionales?,Puede ser asesor un docente ordinario adscrito al departamento académico que atiende asignaturas de la especialidad. El ...,Puede ser asesor un docente ordinario adscrito al departamento académico que atiende asignaturas de la especialidad. El estudiante elige al docente ante la Dirección de la Escuela Profesional y el Decano formaliza su nombramiento.,Fiel,No
